Subject_number,participant,OS,frameRate,trialNumber,Pair_type,Pass,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,similarity,response_time
1,31515,Win32,54.74352658,129,0,2,131,5,5,2211,2163,absent_patch/patch0002211.jpg,absent_patch/patch0002163.jpg,3,35.3219
1,31515,Win32,54.74352658,130,0,2,131,5,5,1995,2175,absent_patch/patch0001995.jpg,absent_patch/patch0002175.jpg,2,38.7093
1,31515,Win32,54.74352658,131,0,2,131,5,5,2079,2079,absent_patch/patch0002079.jpg,absent_patch/patch0002079.jpg,0,41.6192
1,31515,Win32,54.74352658,132,0,2,131,5,5,1947,2271,absent_patch/patch0001947.jpg,absent_patch/patch0002271.jpg,3,45.3575
1,31515,Win32,54.74352658,133,0,2,131,5,5,2367,2367,absent_patch/patch0002367.jpg,absent_patch/patch0002367.jpg,0,48.2866
1,31515,Win32,54.74352658,134,0,2,131,5,5,1947,2247,absent_patch/patch0001947.jpg,absent_patch/patch0002247.jpg,5,51.5733
1,31515,Win32,54.74352658,135,0,2,131,5,5,2163,2151,absent_patch/patch0002163.jpg,absent_patch/patch0002151.jpg,5,54.7379
1,31515,Win32,54.74352658,136,0,2,131,5,5,1995,2367,absent_patch/patch0001995.jpg,absent_patch/patch0002367.jpg,6,58.0321
1,31515,Win32,54.74352658,137,0,2,131,5,5,2367,2175,absent_patch/patch0002367.jpg,absent_patch/patch0002175.jpg,1,61.6688
1,31515,Win32,54.74352658,138,1,2,131,5,5,1,1,present_patch/cong_131_3_a.jpg,present_patch/cong_131_3_a.jpg,0,64.5332
1,31515,Win32,54.74352658,139,0,2,131,5,5,1995,2151,absent_patch/patch0001995.jpg,absent_patch/patch0002151.jpg,2,67.8794
1,31515,Win32,54.74352658,140,1,2,131,5,5,1,1995,present_patch/cong_131_3_a.jpg,absent_patch/patch0001995.jpg,5,71.9857
1,31515,Win32,54.74352658,141,0,2,131,5,5,2079,2247,absent_patch/patch0002079.jpg,absent_patch/patch0002247.jpg,7,76.5653
1,31515,Win32,54.74352658,142,0,2,131,5,5,2175,2223,absent_patch/patch0002175.jpg,absent_patch/patch0002223.jpg,4,80.0328
1,31515,Win32,54.74352658,143,0,2,131,5,5,2151,2031,absent_patch/patch0002151.jpg,absent_patch/patch0002031.jpg,6,83.1776
1,31515,Win32,54.74352658,144,0,2,131,5,5,2031,2247,absent_patch/patch0002031.jpg,absent_patch/patch0002247.jpg,6,86.2296
1,31515,Win32,54.74352658,145,0,2,131,5,5,2151,2271,absent_patch/patch0002151.jpg,absent_patch/patch0002271.jpg,1,90.2449
1,31515,Win32,54.74352658,146,0,2,131,5,5,2283,1995,absent_patch/patch0002283.jpg,absent_patch/patch0001995.jpg,3,94.6896
1,31515,Win32,54.74352658,147,0,2,131,5,5,1947,2079,absent_patch/patch0001947.jpg,absent_patch/patch0002079.jpg,1,98.1608
1,31515,Win32,54.74352658,148,1,2,131,5,5,2367,1,absent_patch/patch0002367.jpg,present_patch/cong_131_3_a.jpg,1,101.6012
1,31515,Win32,54.74352658,149,0,2,131,5,5,2031,2043,absent_patch/patch0002031.jpg,absent_patch/patch0002043.jpg,4,105.1036
1,31515,Win32,54.74352658,150,0,2,131,5,5,2283,2271,absent_patch/patch0002283.jpg,absent_patch/patch0002271.jpg,4,108.7365
1,31515,Win32,54.74352658,151,0,2,131,5,5,2367,2271,absent_patch/patch0002367.jpg,absent_patch/patch0002271.jpg,6,111.7207
1,31515,Win32,54.74352658,152,0,2,131,5,5,2223,2031,absent_patch/patch0002223.jpg,absent_patch/patch0002031.jpg,7,115.767
1,31515,Win32,54.74352658,153,0,2,131,5,5,2043,2043,absent_patch/patch0002043.jpg,absent_patch/patch0002043.jpg,0,118.6015
